Verdict,User,Merchant,Category,Pattern_Detected,AI_Confidence,AI_Reason,Start_Date,Last_Txn
FLAGGED,user_7517,BuggyShop,Shopping,AI + Hybrid Logic,Risk Level: 99.0%,Guardrail: Double Billing Detected (99.0%).,2023-12-16,2023-12-16
FLAGGED,user_7903,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-08-20,2023-12-18
FLAGGED,user_5043,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2023-12-26,2024-10-08
FLAGGED,user_3042,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2023-10-23,2024-08-08
FLAGGED,user_1460,BuggyShop,Shopping,AI + Hybrid Logic,Risk Level: 99.0%,Guardrail: Double Billing Detected (99.0%).,2024-06-08,2024-06-08
FLAGGED,user_7400,UndeadFitness,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2023-07-01,2024-02-26
FLAGGED,user_3755,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-07-03,2023-10-31
FLAGGED,user_5737,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 99.0%,Guardrail: Double Billing Detected (99.0%).,2024-07-25,2024-07-30
FLAGGED,user_3107,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 99.0%,Guardrail: Double Billing Detected (99.0%).,2023-11-21,2024-11-28
FLAGGED,user_2527,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-07-03,2023-10-31
FLAGGED,user_7400,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-08-08,2023-12-06
FLAGGED,user_5713,UndeadFitness,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2023-07-01,2024-02-26
FLAGGED,user_6958,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-08-17,2023-12-15
FLAGGED,user_3107,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-08-18,2023-12-16
FLAGGED,user_5075,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-07-04,2023-11-01
FLAGGED,user_7400,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2023-10-15,2024-03-26
FLAGGED,user_4278,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-07-07,2023-11-04
FLAGGED,user_5713,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 99.0%,Guardrail: Double Billing Detected (99.0%).,2023-08-08,2024-12-13
FLAGGED,user_3116,BuggyShop,Shopping,AI + Hybrid Logic,Risk Level: 99.0%,Guardrail: Double Billing Detected (99.0%).,2024-04-17,2024-04-17
FLAGGED,user_7412,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 99.0%,Guardrail: Double Billing Detected (99.0%).,2024-03-31,2024-05-01
FLAGGED,user_8788,BuggyShop,Shopping,AI + Hybrid Logic,Risk Level: 99.0%,Guardrail: Double Billing Detected (99.0%).,2024-01-07,2024-01-07
FLAGGED,user_5056,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2023-07-19,2024-06-23
FLAGGED,user_5766,BuggyShop,Shopping,AI + Hybrid Logic,Risk Level: 99.0%,Guardrail: Double Billing Detected (99.0%).,2023-08-17,2023-08-17
FLAGGED,user_6332,ViewMax,Entertainment,AI + Hybrid Logic,Risk Level: 64.1%,AI Probability Match (64.1%).,2023-07-31,2023-12-28
FLAGGED,user_1490,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 99.0%,Guardrail: Double Billing Detected (99.0%).,2023-10-25,2024-12-28
FLAGGED,user_6902,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2023-10-11,2024-03-20
FLAGGED,user_1490,BuggyShop,Shopping,AI + Hybrid Logic,Risk Level: 99.0%,Guardrail: Double Billing Detected (99.0%).,2023-11-19,2023-11-19
FLAGGED,user_2548,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-08-10,2023-12-08
FLAGGED,user_6679,BuggyShop,Shopping,AI + Hybrid Logic,Risk Level: 99.0%,Guardrail: Double Billing Detected (99.0%).,2024-06-08,2024-06-08
FLAGGED,user_7416,BuggyShop,Shopping,AI + Hybrid Logic,Risk Level: 99.0%,Guardrail: Double Billing Detected (99.0%).,2024-01-29,2024-01-29
FLAGGED,user_3093,BuggyShop,Shopping,AI + Hybrid Logic,Risk Level: 99.0%,Guardrail: Double Billing Detected (99.0%).,2024-01-31,2024-02-01
FLAGGED,user_4565,UndeadFitness,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2023-07-01,2024-02-26
FLAGGED,user_6958,AncientTrust,Finance,AI + Hybrid Logic,Risk Level: 54.5%,AI Probability Match (54.5%).,2023-08-10,2024-01-07
FLAGGED,user_1479,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 99.0%,Guardrail: Double Billing Detected (99.0%).,2023-07-22,2024-11-06
FLAGGED,user_5766,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 99.0%,Guardrail: Double Billing Detected (99.0%).,2023-07-03,2024-12-11
FLAGGED,user_6958,BuggyShop,Shopping,AI + Hybrid Logic,Risk Level: 99.0%,Guardrail: Double Billing Detected (99.0%).,2024-02-24,2024-02-24
FLAGGED,user_3805,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2023-07-27,2024-06-14
FLAGGED,user_5056,AncientTrust,Finance,AI + Hybrid Logic,Risk Level: 54.5%,AI Probability Match (54.5%).,2023-08-04,2024-01-01
FLAGGED,user_5766,AncientTrust,Finance,AI + Hybrid Logic,Risk Level: 54.5%,AI Probability Match (54.5%).,2023-08-28,2024-01-25
FLAGGED,user_2089,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-07-27,2023-11-24
FLAGGED,user_2822,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-07-16,2023-11-13
FLAGGED,user_1550,BuggyShop,Shopping,AI + Hybrid Logic,Risk Level: 99.0%,Guardrail: Double Billing Detected (99.0%).,2024-05-15,2024-05-15
FLAGGED,user_8923,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-08-01,2023-11-29
FLAGGED,user_4879,BuggyShop,Shopping,AI + Hybrid Logic,Risk Level: 99.0%,Guardrail: Double Billing Detected (99.0%).,2024-10-03,2024-10-03
FLAGGED,user_6780,AncientTrust,Finance,AI + Hybrid Logic,Risk Level: 54.5%,AI Probability Match (54.5%).,2023-07-08,2023-12-05
FLAGGED,user_2724,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-08-13,2023-12-11
FLAGGED,user_5908,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-07-22,2023-11-19
FLAGGED,user_1741,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-07-08,2023-11-05
FLAGGED,user_6780,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2024-06-29,2024-09-27
FLAGGED,user_2724,ViewMax,Entertainment,AI + Hybrid Logic,Risk Level: 64.1%,AI Probability Match (64.1%).,2023-07-14,2023-12-11
FLAGGED,user_1741,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2023-07-14,2024-06-18
FLAGGED,user_4902,AncientTrust,Finance,AI + Hybrid Logic,Risk Level: 54.5%,AI Probability Match (54.5%).,2023-08-20,2024-01-17
FLAGGED,user_5908,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2023-10-15,2024-08-31
FLAGGED,user_7564,BuggyShop,Shopping,AI + Hybrid Logic,Risk Level: 99.0%,Guardrail: Double Billing Detected (99.0%).,2024-05-07,2024-05-07
FLAGGED,user_5897,UndeadFitness,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2023-07-01,2024-02-26
FLAGGED,user_9003,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-08-08,2023-12-06
FLAGGED,user_5897,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-08-07,2023-12-05
FLAGGED,user_4816,UndeadFitness,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2023-07-01,2024-02-26
FLAGGED,user_1729,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 99.0%,Guardrail: Double Billing Detected (99.0%).,2023-10-24,2024-12-26
FLAGGED,user_2724,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2024-01-10,2024-08-31
FLAGGED,user_6083,UndeadFitness,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2023-07-01,2024-02-26
FLAGGED,user_4121,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2024-03-25,2024-10-15
FLAGGED,user_4861,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-08-19,2023-12-17
FLAGGED,user_1865,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-07-01,2023-10-29
FLAGGED,user_1853,ViewMax,Entertainment,AI + Hybrid Logic,Risk Level: 64.1%,AI Probability Match (64.1%).,2023-07-10,2023-12-07
FLAGGED,user_7702,BuggyShop,Shopping,AI + Hybrid Logic,Risk Level: 99.0%,Guardrail: Double Billing Detected (99.0%).,2023-09-06,2023-09-06
FLAGGED,user_4070,ViewMax,Entertainment,AI + Hybrid Logic,Risk Level: 64.1%,AI Probability Match (64.1%).,2023-07-21,2023-12-18
FLAGGED,user_2720,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 99.0%,Guardrail: Double Billing Detected (99.0%).,2024-03-31,2024-12-14
FLAGGED,user_7702,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-07-09,2023-11-06
FLAGGED,user_4070,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-07-22,2023-11-19
FLAGGED,user_6746,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2023-10-20,2024-05-03
FLAGGED,user_5971,ViewMax,Entertainment,AI + Hybrid Logic,Risk Level: 64.1%,AI Probability Match (64.1%).,2023-07-21,2023-12-18
FLAGGED,user_4866,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2023-09-30,2024-09-24
FLAGGED,user_7798,BuggyShop,Shopping,AI + Hybrid Logic,Risk Level: 99.0%,Guardrail: Double Billing Detected (99.0%).,2023-09-21,2023-09-21
FLAGGED,user_2724,AncientTrust,Finance,AI + Hybrid Logic,Risk Level: 54.5%,AI Probability Match (54.5%).,2023-07-19,2023-12-16
FLAGGED,user_4866,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-07-21,2023-11-18
FLAGGED,user_6746,AncientTrust,Finance,AI + Hybrid Logic,Risk Level: 54.5%,AI Probability Match (54.5%).,2023-08-12,2024-01-09
FLAGGED,user_4971,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2024-01-18,2024-10-27
FLAGGED,user_9003,ViewMax,Entertainment,AI + Hybrid Logic,Risk Level: 64.1%,AI Probability Match (64.1%).,2023-07-19,2023-12-16
FLAGGED,user_7846,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2023-09-19,2024-04-26
FLAGGED,user_1600,ViewMax,Entertainment,AI + Hybrid Logic,Risk Level: 64.1%,AI Probability Match (64.1%).,2023-07-05,2023-12-02
FLAGGED,user_7528,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 99.0%,Guardrail: Double Billing Detected (99.0%).,2023-08-15,2024-12-10
FLAGGED,user_4957,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-07-11,2023-11-08
FLAGGED,user_9100,BuggyShop,Shopping,AI + Hybrid Logic,Risk Level: 99.0%,Guardrail: Double Billing Detected (99.0%).,2023-09-12,2023-09-12
FLAGGED,user_4721,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-07-26,2023-11-23
FLAGGED,user_4965,BuggyShop,Shopping,AI + Hybrid Logic,Risk Level: 99.0%,Guardrail: Double Billing Detected (99.0%).,2023-09-28,2023-09-28
FLAGGED,user_6712,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2024-05-29,2024-12-19
FLAGGED,user_6262,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2024-01-31,2024-08-14
FLAGGED,user_6828,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-07-20,2023-11-17
FLAGGED,user_3978,AncientTrust,Finance,AI + Hybrid Logic,Risk Level: 54.5%,AI Probability Match (54.5%).,2023-07-25,2023-12-22
FLAGGED,user_5828,AncientTrust,Finance,AI + Hybrid Logic,Risk Level: 54.5%,AI Probability Match (54.5%).,2023-08-28,2024-01-25
FLAGGED,user_4721,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2024-03-16,2024-12-20
FLAGGED,user_4971,AncientTrust,Finance,AI + Hybrid Logic,Risk Level: 54.5%,AI Probability Match (54.5%).,2023-08-30,2024-01-27
FLAGGED,user_6262,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-07-11,2023-11-08
FLAGGED,user_3972,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2024-01-17,2024-10-10
FLAGGED,user_1700,AncientTrust,Finance,AI + Hybrid Logic,Risk Level: 54.5%,AI Probability Match (54.5%).,2023-07-03,2023-11-30
FLAGGED,user_6181,AncientTrust,Finance,AI + Hybrid Logic,Risk Level: 54.5%,AI Probability Match (54.5%).,2023-07-20,2023-12-17
FLAGGED,user_4787,AncientTrust,Finance,AI + Hybrid Logic,Risk Level: 54.5%,AI Probability Match (54.5%).,2023-08-23,2024-01-20
FLAGGED,user_2806,BuggyShop,Shopping,AI + Hybrid Logic,Risk Level: 99.0%,Guardrail: Double Billing Detected (99.0%).,2024-05-05,2024-05-05
FLAGGED,user_6712,UndeadFitness,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2023-07-01,2024-02-26
FLAGGED,user_7552,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2024-03-24,2024-12-03
FLAGGED,user_1959,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2024-08-24,2024-12-06
FLAGGED,user_3986,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2023-09-10,2024-06-30
FLAGGED,user_1716,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2023-11-14,2024-10-13
FLAGGED,user_1716,BuggyShop,Shopping,AI + Hybrid Logic,Risk Level: 99.0%,Guardrail: Double Billing Detected (99.0%).,2024-02-05,2024-02-05
FLAGGED,user_5843,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-07-01,2023-10-29
FLAGGED,user_2627,BuggyShop,Shopping,AI + Hybrid Logic,Risk Level: 99.0%,Guardrail: Double Billing Detected (99.0%).,2024-05-31,2024-05-31
FLAGGED,user_2784,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-07-06,2023-11-03
FLAGGED,user_2627,BingeWatch,Entertainment,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2023-09-16,2024-03-28
FLAGGED,user_3978,UndeadFitness,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2023-07-01,2024-02-26
FLAGGED,user_8829,ViewMax,Entertainment,AI + Hybrid Logic,Risk Level: 64.1%,AI Probability Match (64.1%).,2023-07-25,2023-12-22
FLAGGED,user_2784,ViewMax,Entertainment,AI + Hybrid Logic,Risk Level: 64.1%,AI Probability Match (64.1%).,2023-07-31,2023-12-28
FLAGGED,user_4202,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-08-17,2023-12-15
FLAGGED,user_4957,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 99.0%,Guardrail: Double Billing Detected (99.0%).,2023-11-17,2024-05-28
FLAGGED,user_9068,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-07-19,2023-11-16
FLAGGED,user_3116,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2024-02-06,2024-12-29
FLAGGED,user_5053,UndeadFitness,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2023-07-01,2024-02-26
FLAGGED,user_4559,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-07-15,2023-11-12
FLAGGED,user_5513,AncientTrust,Finance,AI + Hybrid Logic,Risk Level: 54.5%,AI Probability Match (54.5%).,2023-08-02,2023-12-30
FLAGGED,user_1150,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2023-07-14,2024-06-26
FLAGGED,user_5513,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2023-11-11,2024-07-16
FLAGGED,user_4307,AncientTrust,Finance,AI + Hybrid Logic,Risk Level: 54.5%,AI Probability Match (54.5%).,2023-07-29,2023-12-26
FLAGGED,user_6608,AncientTrust,Finance,AI + Hybrid Logic,Risk Level: 54.5%,AI Probability Match (54.5%).,2023-07-28,2023-12-25
FLAGGED,user_4301,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-08-16,2023-12-14
FLAGGED,user_8641,AncientTrust,Finance,AI + Hybrid Logic,Risk Level: 54.5%,AI Probability Match (54.5%).,2023-07-20,2023-12-17
FLAGGED,user_5201,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-07-03,2023-10-31
FLAGGED,user_8641,BingeWatch,Entertainment,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2023-08-22,2024-06-15
FLAGGED,user_3328,BuggyShop,Shopping,AI + Hybrid Logic,Risk Level: 99.0%,Guardrail: Double Billing Detected (99.0%).,2024-03-21,2024-03-21
FLAGGED,user_8279,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 99.0%,Guardrail: Double Billing Detected (99.0%).,2023-09-10,2024-12-07
FLAGGED,user_7400,AncientTrust,Finance,AI + Hybrid Logic,Risk Level: 54.5%,AI Probability Match (54.5%).,2023-08-27,2024-01-24
FLAGGED,user_2413,UndeadFitness,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2023-07-01,2024-02-26
FLAGGED,user_7209,AncientTrust,Finance,AI + Hybrid Logic,Risk Level: 54.5%,AI Probability Match (54.5%).,2023-08-24,2024-01-21
FLAGGED,user_1109,UndeadFitness,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2023-07-01,2024-02-26
FLAGGED,user_6608,BuggyShop,Shopping,AI + Hybrid Logic,Risk Level: 99.0%,Guardrail: Double Billing Detected (99.0%).,2024-08-14,2024-08-14
FLAGGED,user_5201,AncientTrust,Finance,AI + Hybrid Logic,Risk Level: 54.5%,AI Probability Match (54.5%).,2023-08-30,2024-01-27
FLAGGED,user_9722,AncientTrust,Finance,AI + Hybrid Logic,Risk Level: 54.5%,AI Probability Match (54.5%).,2023-07-04,2023-12-01
FLAGGED,user_7209,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 99.0%,Guardrail: Double Billing Detected (99.0%).,2023-07-14,2024-12-26
FLAGGED,user_8279,AncientTrust,Finance,AI + Hybrid Logic,Risk Level: 54.5%,AI Probability Match (54.5%).,2023-07-06,2023-12-03
FLAGGED,user_4301,FitPhysique,Health,AI + Hybrid Logic,Risk Level: 95.0%,Guardrail: Zombie Charge Detected (95.0%).,2023-09-25,2024-06-19
FLAGGED,user_3526,AncientTrust,Finance,AI + Hybrid Logic,Risk Level: 54.5%,AI Probability Match (54.5%).,2023-08-20,2024-01-17
FLAGGED,user_7209,StealthNet,Software,AI + Hybrid Logic,Risk Level: 94.0%,AI Probability Match (94.0%).,2023-07-05,2023-11-02
